pt = [420, 2437, 1]
pt = [424, 2436, 1]
pt = [425, 2436, 1]
pt = [426, 2436, 1]
pt = [492, 1216, 1]
pt = [493, 1205, 1]
pt = [493, 1216, 1]
pt = [493, 1278, 1]
pt = [494, 1145, 1]
pt = [494, 1146, 1]
pt = [494, 1206, 1]
pt = [494, 1216, 1]
pt = [494, 1271, 1]
pt = [494, 1272, 1]
pt = [494, 1278, 1]
pt = [494, 1283, 1]
pt = [494, 1284, 1]
pt = [495, 1147, 1]
pt = [495, 1216, 1]
pt = [495, 1272, 1]
pt = [496, 1214, 1]
pt = [496, 1215, 1]
pt = [496, 1289, 1]
pt = [496, 1335, 1]
pt = [497, 1157, 1]
pt = [497, 1158, 1]
pt = [497, 1211, 1]
pt = [497, 1212, 1]
pt = [497, 1213, 1]
pt = [497, 1221, 1]
pt = [497, 1222, 1]
pt = [497, 1223, 1]
pt = [497, 1224, 1]
pt = [497, 1225, 1]
pt = [497, 1228, 1]
pt = [497, 1229, 1]
pt = [497, 1274, 1]
pt = [497, 1278, 1]
pt = [497, 1288, 1]
pt = [497, 1336, 1]
pt = [497, 1337, 1]
pt = [497, 1338, 1]
pt = [497, 1339, 1]
pt = [497, 1360, 1]
pt = [497, 1361, 1]
pt = [498, 1210, 1]
pt = [498, 1219, 1]
pt = [498, 1275, 1]
pt = [498, 1277, 1]
pt = [498, 1476, 1]
pt = [499, 1215, 1]
pt = [499, 1216, 1]
pt = [499, 1218, 1]
pt = [499, 1276, 1]
pt = [499, 1277, 1]
pt = [499, 1477, 1]
pt = [500, 1073, 1]
pt = [500, 1074, 1]
pt = [500, 1218, 1]
pt = [500, 1223, 1]
pt = [500, 1225, 1]
pt = [500, 1226, 1]
pt = [500, 1227, 1]
pt = [500, 1277, 1]
pt = [500, 1278, 1]
pt = [500, 1279, 1]
pt = [500, 1280, 1]
pt = [501, 1072, 1]
pt = [501, 1073, 1]
pt = [501, 1103, 1]
pt = [501, 1224, 1]
pt = [501, 1284, 1]
pt = [501, 1287, 1]
pt = [501, 1288, 1]
pt = [501, 1289, 1]
